Episodio n;Titulo;URL;Año;Mes
Episodio 1;Himnos de la guitarra;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-himnos-guitarra-03-09-12/1518883/;2012;9
Episodio 2;Himnos II;http://www.rtve.eshttps://www.rtve.es/play/audios/6x3/6-3-himnos-ii-04-09-12/1520041/;2012;9
Episodio 3;Las amigas de Lucille;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-amigas-lucille-05-09-12/1520724/;2012;9
Episodio 4;All together 6x3;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-all-together-6x3-06-09-12/1521507/;2012;9
Episodio 5;Lo nuevo de Steve Vai;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-nuevo-steve-vai-07-09-12/1522408/;2012;9
Episodio 6;Sonido Black Keys;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-sonido-black-keys-10-09-12/1523824/;2012;9
Episodio 7;Unidos por el Wah Wah;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-unidos-wah-wah-11-09-12/1524672/;2012;9
Episodio 8;Unidos por el Slide;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-unidos-slide-12-09-12/1525275/;2012;9
Episodio 9;On the road again;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-on-the-road-again-13-06-12/1526078/;2012;9
Episodio 10;Presentando a Manu Herrera;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-presentando-manu-herrera-14-09-12/1526933/;2012;9
Episodio 11;Desmontando a Eric (Johnson);http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-desmontando-eric-johnson-17-09-12/1528006/;2012;9
Episodio 12;Michael Burks;http://www.rtve.eshttps://www.rtve.es/play/audios/6x3/6x3-michael-burks-18-09-12/1529763/;2012;9
Episodio 13;Tommy Castro;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/120919-seis-tres-tommy-castro-2012-09-18t19-19-56847/1530747/;2012;9
Episodio 14;Guitarreras I;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6x3-guitarreras-20-09-12/1531294/;2012;9
Episodio 15;Guitarreras II;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/120921-seis-tres-nenas-ii-2012-09-20t19-17-23667/1532323/;2012;9
Episodio 16;Versiones en conserva;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6x3-versiones-conserva-24-09-12/1533285/;2012;9
Episodio 17;De Bread a Cry;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-bread-cry-25-09-12/1535067/;2012;9
Episodio 18;The Motives-Husky;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-the-motives-husky-26-09-12/1535963/;2012;9
Episodio 19;Desmontando a Simón;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-desmontando-simon-27-09-12/1536930/;2012;9
Episodio 20;Michael y Britney;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-michael-britney-28-09-12/1537953/;2012;9
Episodio 21;Monográfico Hendrix;http://www.rtve.eshttp://www.rtve.es/play/audios/6x3/6-3-monografico-hendrix-01-10-12/1539824/;2012;10
Episodio 22;Muse y parecidos razonables;http://www.rtve.eshttps://www.rtve.es/play/audios/6x3/6x3-muse-parecidos-razonables-02-10-12/1540704/;2012;10
