Episodio n;Titulo;URL;Año;Mes
Episodio 1;Lista de mayo - 07/05/08;http://www.rtve.es/play/audios/discopolis/discopolis-lista-mayo-07-05-08/67871/;2008;5
Episodio 2;Carmen París presenta 'InCubando';https://www.rtve.es/play/audios/discopolis/carmen-paris-incubando/6686863/;2008;5
Episodio 3;Lista de junio - 02/06/08;http://www.rtve.es/play/audios/discopolis/discopolis-lista-junio-02-06-08/119172/;2008;6
Episodio 4;Rosa Zaragoza - 13/08/08;http://www.rtve.es/play/audios/discopolis/discopolis-canciones-sefardies-rosa-zaragoza-13-08-08/255228/;2008;8
Episodio 5;Sintonía - 13/08/08;https://www.rtve.es/play/audios/discopolis/discopolis-sintonia-13-08-08/253729/;2008;8
Episodio 6;Alberto Alcalá - 28/08/08;http://www.rtve.es/play/audios/discopolis/discopolis-gran-revelacion-alberto-alcala-28-08-08/270998/;2008;8
Episodio 7;Nuevos talentos - 29/08/08;http://www.rtve.es/play/audios/discopolis/discopolis-nuevos-talentos-cancion-29-08-08/272675/;2008;8
Episodio 8;Música étnica - 01/09/08;https://www.rtve.es/play/audios/discopolis/discopolis-musica-etnica-01-09-08/276306/;2008;9
Episodio 9;Una nueva entrega - 02/09/08;https://www.rtve.es/play/audios/discopolis/discopolis-nueva-entrega-02-09-08/277172/;2008;9
Episodio 10;Música étnica - 03/09/08;http://www.rtve.es/play/audios/discopolis/discopolis-musica-etnica-03-09-08/278064/;2008;9
Episodio 11;Eivissa Jazz Festival en Discópolis;https://www.rtve.es/play/audios/discopolis/discopolis-eivissa-jazz-festival-discopolis/279152/;2008;9
Episodio 12;Música moscovita - 05/09/08;https://www.rtve.es/play/audios/discopolis/discopolis-musica-moscovita-05-09-08/280016/;2008;9
Episodio 13;Duende y Aire ... - 08/09/08;https://www.rtve.es/play/audios/discopolis/discopolis-duende-aire-laura-bello-08-09-08/282256/;2008;9
Episodio 14;Maravillas y delicadezas - 09/09/08;http://www.rtve.es/play/audios/discopolis/discopolis-maravillas-delicadezas-09-09-08/283152/;2008;9
Episodio 15;Música étnica española - 10/09/08;https://www.rtve.es/play/audios/discopolis/discopolis-musicas-etnicas-espana-10-09-08/283986/;2008;9
Episodio 16;Ray Lema .... - 11/09/08;https://www.rtve.es/play/audios/discopolis/discopolis-ray-lema-11-09-08/284814/;2008;9
Episodio 17;King Crimson en el 96 - 12/09/08;http://www.rtve.es/play/audios/discopolis/discopolis-king-crimson-96-12-09-08/285757/;2008;9
Episodio 18;Sones cubanos - 15/09/08;https://www.rtve.es/play/audios/discopolis/discopolis-sones-cubanos-15-09-08/288296/;2008;9
Episodio 19;Rock y 'Mediterráneo' - 16/09/08;https://www.rtve.es/play/audios/discopolis/discopolis-rock-mediterraneo-16-09-08/289317/;2008;9
Episodio 20;Omara Portuondo - 17/09/08;https://www.rtve.es/play/audios/discopolis/discopolis-entrevista-omara-portuondo-17-09-08/290391/;2008;9
Episodio 21;Discópolis - 18/09/08;https://www.rtve.es/play/audios/discopolis/discopolis-18-09-08/291458/;2008;9
Episodio 22;Felix Simao, Kilema ... - 19/09/08;http://www.rtve.es/play/audios/discopolis/discopolis-felix-simao-kilema-19-09-08/292459/;2008;9
Episodio 23;Blas de Rivera ... - 20/09/08;https://www.rtve.es/play/audios/discopolis/discopolis-tango-blas-rivera-20-09-08/293170/;2008;9
Episodio 24;Jazz: Perico Sambeat ... - 22/09/08;https://www.rtve.es/play/audios/discopolis/discopolis-jazz-perico-sambeat-22-09-08/294719/;2008;9
Episodio 25;Discópolis - 23/09/08;https://www.rtve.es/play/audios/discopolis/discopolis-23-09-08/295212/;2008;9
Episodio 26;Discópolis - 24/09/08;http://www.rtve.es/play/audios/discopolis/discopolis-24-09-08/296204/;2008;9
Episodio 27;RPWL ... - 25/09/08;https://www.rtve.es/play/audios/discopolis/discopolis-rpwl-nuevo-disco-marilion-25-09-08/297238/;2008;9
Episodio 28;Kepa Junkera ... - 26/09/08;http://www.rtve.es/play/audios/discopolis/discopolis-kepa-junkera-ana-belen-victor-manuel-michel-camilo-26-09-08/298348/;2008;9
Episodio 29;Mediterráneo - 27/09/08;https://www.rtve.es/play/audios/discopolis/discopolis-mediterraneo-27-09-08/299240/;2008;9
Episodio 30;Anouar Brahem - 29/09/08;https://www.rtve.es/play/audios/discopolis/discopolis-anouar-brahem-29-09-08/300862/;2008;9
Episodio 31;Atomic - 30/09/08;http://www.rtve.es/play/audios/discopolis/discopolis-atomic-30-09-08/302318/;2008;9
Episodio 32;Lista WMCE - 01/10/08;https://www.rtve.es/play/audios/discopolis/discopolis-lista-europea-ritmos-etnicos-wmce-01-10-08/303101/;2008;10
Episodio 33;Son del aire - 02/10/08;https://www.rtve.es/play/audios/discopolis/discopolis-son-del-aire-02-10-08/304334/;2008;10
Episodio 34;Lo nuevo de Uxía - 03/10/08;https://www.rtve.es/play/audios/discopolis/discopolis-asi-suena-nuevo-uxia-03-10-08/305641/;2008;10
Episodio 35;Mediterráneo ... - 04/10/08;http://www.rtve.es/play/audios/discopolis/discopolis-mediterraneo-04-10-08/305722/;2008;10
Episodio 36;Discópolis - 06/10/08;http://www.rtve.es/play/audios/discopolis/discopolis-06-10-08/308715/;2008;10
Episodio 37;Discópolis - 07/10/08;http://www.rtve.es/play/audios/discopolis/discopolis-07-10-08/308951/;2008;10
Episodio 38;Discópolis - 08/10/08;https://www.rtve.es/play/audios/discopolis/discopolis-08-10-08/309878/;2008;10
Episodio 39;Discópolis - 09/10/08;https://www.rtve.es/play/audios/discopolis/discopolis-09-10-08/310694/;2008;10
Episodio 40;Discópolis - 10/10/08;http://www.rtve.es/play/audios/discopolis/discopolis-10-10-08/310575/;2008;10
Episodio 41;Discópolis - 11/10/08;https://www.rtve.es/play/audios/discopolis/discopolis-11-10-08/310676/;2008;10
Episodio 42;Discópolis - 13/10/08;http://www.rtve.es/play/audios/discopolis/discopolis-13-10-08/315022/;2008;10
Episodio 43;Discópolis - 14/10/08;https://www.rtve.es/play/audios/discopolis/discopolis-14-10-08/316287/;2008;10
Episodio 44;Programa francófono - 2 - 15/10/08;http://www.rtve.es/play/audios/discopolis/discopolis-programa-francofono-segunda-parte-15-10-08/317286/;2008;10
Episodio 45;S. Sanmiguel y Mielotxin - 16/10/08;http://www.rtve.es/play/audios/discopolis/discopolis-silvia-sanmiguel-mielotxin-16-10-08/318031/;2008;10
